name,calories,carbohydrate,total_fat,protein,cluster,day
"Beverages, Protein powder soy based",388.0,28.89,5.6,55.56,1,Tuesday
"Beverages, frozen concentrate, fruit punch juice drink",175.0,43.1,0.7,0.3,0,Tuesday
"Cabbage, without salt, drained, boiled, cooked, savoy",24.0,5.41,0.1,1.8,0,Tuesday
"Cereals ready-to-eat, cinnamon, Oatmeal Squares, QUAKER",379.0,78.09,4.9,11.23,1,Tuesday
"Orange juice, raw",45.0,10.4,0.2,0.7,0,Tuesday
"Babyfood, apple, juice",47.0,11.7,0.1,0.0,0,Tuesday
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, top round, round",166.0,0.0,7.9,22.06,0,Tuesday
"Snacks, wasabi-flavored, roasted, peas",432.0,62.2,14.0,14.11,1,Tuesday
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top sirloin cap steak, loin",134.0,0.0,5.4,21.38,0,Tuesday
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, flat half, brisket",276.0,0.0,22.0,17.77,1,Tuesday
"Basil, fresh",23.0,2.65,0.6,3.15,0,Tuesday
"Potatoes, whole milk added, home-prepared, mashed",83.0,17.57,0.6,1.91,0,Tuesday
"POPEYES, skin and breading removed, meat only, Thigh, Mild, Fried Chicken",188.0,0.85,9.7,24.31,0,Tuesday
"Bread, prepared from recipe, whole-wheat",278.0,51.4,5.4,8.4,1,Tuesday
"Oil, salad or cooking, sesame",884.0,0.0,100.0,0.0,2,Tuesday
Candied fruit,322.0,82.74,0.1,0.34,1,Tuesday
"McDONALD'S, McCHICKEN Sandwich",273.0,27.97,13.0,10.43,1,Tuesday
"Potatoes, solids and liquids, canned",44.0,9.89,0.1,1.2,0,Tuesday
"Beef, braised, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",359.0,0.0,27.0,26.37,1,Tuesday
"Syrup, chocolate, NESTLE",269.0,67.21,0.0,0.0,1,Tuesday
"Gums, seed gums (includes locust bean, guar)",332.0,77.3,0.5,4.6,1,Tuesday
"Fish, New York State, raw, brook, trout",110.0,0.0,2.7,21.23,0,Tuesday
"MOTHER'S, Jungle Animal Cookies",514.0,68.3,25.0,3.8,2,Tuesday
"KEEBLER, Mini, Fudge Stripes, FUDGE SHOPPE",497.0,68.7,23.0,4.2,2,Tuesday
"SPAGHETTIOS, SpaghettiOs  with Meatballs - Easy Open",87.0,11.65,2.4,4.37,0,Tuesday
"Cereals, dry, Creamy TRULY VANILLA, KASHI GO LEAN Hot Cereal",360.0,61.09,5.3,22.29,1,Tuesday
"Macaroni or noodles with cheese, unprepared, made from reduced fat packaged mix",297.0,52.06,4.0,13.1,1,Tuesday
"Alcoholic beverage, late harvest, white, table, wine",112.0,13.39,0.0,0.07,0,Tuesday
"Breadfruit, raw",103.0,27.12,0.2,1.07,0,Tuesday
"Babyfood, toddler, beef with vegetables, meat",68.0,8.72,2.1,3.5,0,Tuesday
"Pie, commercially prepared, coconut custard",260.0,30.2,13.0,5.9,1,Tuesday
"Beef, pastrami, cured",147.0,0.36,5.8,21.8,0,Tuesday
"Puddings, ready-to-eat, rice",108.0,18.39,2.2,3.23,0,Tuesday
"MURRAY, Lemon Creme Sandwich Cookies, SUGAR FREE",469.0,68.3,24.0,4.9,2,Tuesday
"SCHAR, Classic White Bread, Wheat-Free, Gluten-Free",240.0,46.13,4.5,3.81,1,Tuesday
"Seaweed, raw, laver",35.0,5.11,0.3,5.81,0,Tuesday
"Babyfood, strained, beef, meat",81.0,2.43,2.5,12.03,0,Tuesday
"Beverages, prepared with whole milk, powder, chocolate, Malted drink mix",85.0,11.2,3.3,3.37,0,Tuesday
"Candies, AFTER EIGHT Mints, NESTLE",432.0,79.53,12.0,1.67,1,Tuesday
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, lip-on, bone-in, rib eye steak",221.0,0.0,12.0,27.4,1,Tuesday
"CAMPBELL'S CHUNKY Soups, Chicken Broccoli Cheese & Potato Soup",86.0,8.16,4.5,2.86,0,Tuesday
"Soup, ready to serve, beef barley",52.0,7.94,1.0,2.81,0,Tuesday
"Chicken, skin, BBQ, rotisserie, broiler",378.0,0.7,35.0,15.19,1,Tuesday
"Pork, pan-fried, cooked, separable lean only, bone-in, center loin (chops), loin, fresh",195.0,0.0,7.7,29.56,0,Tuesday
"Beef, raw, mechanically separated beef, variety meats and by-products",276.0,0.0,24.0,14.97,1,Tuesday
"PIZZA HUT 14"" Cheese Pizza, Pan Crust",276.0,32.85,11.0,10.85,1,Tuesday
"Fish, raw, european, anchovy",131.0,0.0,4.8,20.35,0,Tuesday
"Nuts, toasted, dried (desiccated), coconut meat",592.0,44.4,47.0,5.3,2,Tuesday
"Turkey, roasted, cooked, meat and skin, breast, retail parts",164.0,0.05,5.3,29.01,0,Tuesday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, steak, flank",141.0,0.0,5.5,21.57,0,Tuesday
"Beets, solids and liquids, regular pack, canned",30.0,7.14,0.1,0.73,0,Tuesday
"Game meat, raw, muskrat",162.0,0.0,8.1,20.76,0,Tuesday
"Veal, braised, cooked, brain, variety meats and by-products",136.0,0.0,9.6,11.48,0,Tuesday
"English muffins, toasted (includes apple-cinnamon), raisin-cinnamon",276.0,55.04,2.2,8.87,1,Tuesday
"DIGIORNO Pizza, baked, frozen, rising crust, cheese topping",256.0,31.78,8.6,12.8,1,Tuesday
"Noodles, unenriched, dry, egg",384.0,71.27,4.4,14.16,1,Tuesday
"Vegetables, solids and liquids, canned, mixed",36.0,7.13,0.3,1.42,0,Tuesday
"Oheloberries, raw",28.0,6.84,0.2,0.38,0,Tuesday
"Mushrooms, with salt, cooked, shiitake",56.0,14.39,0.2,1.56,0,Tuesday
"Sauce, tomato based, steak",95.0,22.04,0.2,1.25,0,Tuesday
"Spearmint, fresh",44.0,8.41,0.7,3.29,0,Tuesday
"WENDY'S, Homestyle Chicken Fillet Sandwich",214.0,21.55,8.1,13.78,1,Tuesday
"Shortening confectionery, coconut (hydrogenated) and or palm kernel (hydrogenated)",884.0,0.0,100.0,0.0,2,Tuesday
"KELLOGG'S, Ice Cream Shoppe Frosted Rainbow Chip Toaster Pastries, POP-TARTS",400.0,70.8,11.0,4.0,1,Tuesday
"Sea cucumber, yane (Alaska Native)",56.0,0.0,0.4,13.0,0,Tuesday
"Beverages, fortified with vitamin C, unsweetened, lemon, decaffeinated, instant, green, tea",378.0,94.45,0.0,0.0,1,Tuesday
"Nectarines, raw",44.0,10.55,0.3,1.06,0,Tuesday
"KELLOGG'S, Cinnamon, French Toaster Sticks, EGGO",250.0,42.6,6.9,4.8,1,Tuesday
"Cereals ready-to-eat, BASIC 4, GENERAL MILLS",358.0,79.09,4.0,6.69,1,Tuesday
"Lamb, slow roasted, cooked, separable lean and fat, shank off, chump off, tunnel-boned leg, imported, New Zealand",208.0,0.03,13.0,23.41,1,Tuesday
"Beverages, bottled, cranberry-apple juice drink",63.0,15.85,0.1,0.0,0,Tuesday
"Kale, raw, scotch",42.0,8.32,0.6,2.8,0,Tuesday
"Yogurt, non-fat, vanilla",78.0,17.04,0.0,2.94,0,Tuesday
"ON THE BORDER, cheese enchilada",271.0,16.2,18.0,11.67,1,Tuesday
"Bologna, turkey and beef, pork",336.0,6.66,29.0,11.56,1,Tuesday
"Nuts, with salt added, oil roasted, almonds",607.0,17.68,55.0,21.23,2,Tuesday
"Bread, rye, reduced-calorie",203.0,40.5,2.9,9.1,0,Tuesday
"Biscuits, lower fat, refrigerated dough, plain or buttermilk",270.0,43.7,7.8,6.7,1,Tuesday
"Lentils, without salt, stir-fried, cooked, sprouted",101.0,21.25,0.5,8.8,0,Tuesday
"Cabbage, raw, chinese (pak-choi)",13.0,2.18,0.2,1.5,0,Tuesday
"Nuts, lightly salted, with peanuts, oil roasted, mixed nuts",607.0,21.05,54.0,20.04,2,Tuesday
"SUNSHINE, Reduced Fat, 100 Calorie Right Bites, CHEEZ-IT",452.0,67.0,15.0,13.3,2,Tuesday
"Fish, raw, monkfish",76.0,0.0,1.5,14.48,0,Tuesday
"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean only,blade, shoulder , fresh, imported, Australian",231.0,0.0,14.0,23.83,1,Tuesday
"Beef, raw, separable lean and fat, boneless, top round cap-off steak/roast, round, grass-fed, imported, Australian",129.0,0.0,4.4,22.24,0,Tuesday
"Lambsquarters, raw",43.0,7.3,0.8,4.2,0,Tuesday
"Fish, raw, walleye, pike",93.0,0.0,1.2,19.14,0,Tuesday
"Pineapple, drained, juice pack, canned",60.0,15.56,0.1,0.51,0,Tuesday
"Cornmeal, enriched, degermed, self-rising, white",355.0,74.79,1.7,8.41,1,Tuesday
"Dip, medium, salsa con queso, TOSTITOS",133.0,11.72,8.3,2.92,0,Tuesday
"Beef, reduced sodium, bologna",310.0,2.0,28.0,11.7,1,Tuesday
"Soup, homemade (Alaska Native), fish",72.0,5.6,2.2,7.4,0,Tuesday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, mock tender steak, chuck",123.0,0.0,4.2,21.3,0,Tuesday
"Cake, butter (includes fresh and frozen), commercially prepared, pound",353.0,53.64,14.0,5.0,1,Tuesday
"Veal, roasted, cooked, separable lean only, leg (top round)",150.0,0.0,3.4,28.07,0,Tuesday
"KELLOGG'S, Savory Herb Crackers, SPECIAL K",406.0,73.8,10.0,10.9,1,Tuesday
"Soybeans, raw, green",147.0,11.05,6.8,12.95,0,Tuesday
"Alcoholic Beverage, Lemberger, red, table, wine",80.0,2.46,0.0,0.07,0,Tuesday
"WORTHINGTON Super Links, unprepared, canned",219.0,5.5,16.0,14.5,1,Tuesday
"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",310.0,79.77,3.4,10.21,1,Tuesday
"Game meat, roasted, cooked, composite of cuts, beefalo",188.0,0.0,6.3,30.66,0,Tuesday
"Beef, pan-broiled, cooked, patty, 90% lean meat / 10% fat, ground",204.0,0.0,11.0,25.21,0,Tuesday
"Fast Foods, skin and breading removed, meat only, Wing, Fried Chicken",215.0,2.13,10.0,28.77,1,Tuesday
"Chicken, fried, cooked, meat only, neck, broilers or fryers",229.0,1.77,12.0,26.87,1,Tuesday
"Chives, raw",30.0,4.35,0.7,3.27,0,Tuesday
"Pork, pan-broil, heated, separable lean and fat, boneless, slice, ham -- water added, cured",125.0,1.72,5.1,18.62,0,Tuesday
"Cheese, whole milk, ricotta",174.0,3.04,13.0,11.26,0,Tuesday
"Beverages, Strawberry Banana, V8 SPLASH Smoothies",37.0,8.16,0.0,1.22,0,Tuesday
"Pork, roasted, heated, separable lean and fat, boneless, whole, ham -- water added, cured",126.0,1.54,5.5,17.77,0,Tuesday
"Beef, boiled, cooked, heart, variety meats and by-products, imported, New Zealand",179.0,0.0,6.0,31.29,0,Tuesday
"Mollusks, raw, mixed species, abalone",105.0,6.01,0.8,17.1,0,Tuesday
"Fish, raw, cusk",87.0,0.0,0.7,18.99,0,Tuesday
"Mortadella, pork, beef",311.0,3.05,25.0,16.37,1,Tuesday
"Lemonade, white, frozen concentrate",196.0,49.89,0.7,0.22,0,Tuesday
"Lentils, without salt, boiled, cooked, mature seeds",116.0,20.13,0.4,9.02,0,Tuesday
"Caribou, raw (Alaska Native), tongue",260.0,0.0,23.0,13.7,1,Tuesday
"OSCAR MAYER, Salami (hard)",368.0,1.6,29.0,25.9,1,Tuesday
"Restaurant, lemon chicken, Chinese",252.0,20.61,14.0,11.87,1,Tuesday
"GIRL SCOUTS, Thin Mints Cookies",502.0,67.3,24.0,4.5,2,Tuesday
"Corn, no salt added, vacuum pack, canned, white, sweet",79.0,19.44,0.5,2.41,0,Tuesday
"Fruit salad, solids and liquids, heavy syrup, canned, tropical, (pineapple and papaya and banana and guava)",86.0,22.36,0.1,0.41,0,Tuesday
"Veal, braised, cooked, separable lean and fat, rib",251.0,0.0,13.0,32.43,1,Tuesday
"Pork, braised, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",255.0,0.0,16.0,26.29,1,Tuesday
"Soup, prepared with equal volume milk, canned, cheese",92.0,6.47,5.8,3.77,0,Tuesday
"Turkey, roasted, skin from whole (light and dark)",459.0,0.57,39.0,23.94,2,Tuesday
"Frybread, made with lard (Navajo)",330.0,48.26,12.0,6.69,1,Tuesday
"Cake, prepared from recipe, pineapple upside-down",319.0,50.5,12.0,3.5,1,Tuesday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",123.0,0.0,4.1,21.64,0,Tuesday
"Cereals ready-to-eat, CHOCOLATE MARSHMALLOW MATEYS, MALT-O-MEAL",392.0,88.18,3.7,3.5,1,Tuesday
"Chicken, back meat and skin, BBQ, rotisserie, broiler",251.0,0.4,19.0,20.29,1,Tuesday
"Pork, broiled, cooked, boneless, separable lean only, boneless, blade (chops), loin, fresh",169.0,0.89,6.7,26.14,0,Tuesday
"Shortening, fractionated palm, confectionery",884.0,0.0,100.0,0.0,2,Tuesday
"Beverages, reduced calorie, with whitener, instant, coffee",509.0,59.94,29.0,1.96,2,Tuesday
"Snacks, sour-cream-and-onion-flavor, potato chips",531.0,51.5,34.0,8.1,2,Tuesday
"Restaurant, coleslaw, family style",159.0,12.35,12.0,0.88,0,Tuesday
"Apples, with skin, fuji, raw",63.0,15.22,0.2,0.2,0,Tuesday
"Beans, with pork, canned, baked",106.0,19.99,1.6,5.19,0,Tuesday
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, porterhouse steak, short loin",212.0,0.0,11.0,26.07,1,Tuesday
"Seeds, dried, chia seeds",486.0,42.12,31.0,16.54,2,Tuesday
"Beverages, B6, E, C, fortified with vitamins A, orange mango, FUZE",38.0,9.2,0.1,0.68,0,Tuesday
"McDONALD'S, Hotcakes (with 2 pats margarine & syrup)",272.0,46.08,8.1,4.05,1,Tuesday
"Chicken, roasted, cooked, meat only, dark meat, broilers or fryers",205.0,0.0,9.7,27.37,1,Tuesday
"Popcorn, low fat and sodium, microwave",429.0,73.39,9.5,12.6,1,Tuesday
"ARCHWAY Home Style Cookies, Raspberry Filled",400.0,65.92,13.0,4.35,1,Tuesday
"Spices, bay leaf",313.0,74.97,8.4,7.61,1,Tuesday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",180.0,0.0,11.0,19.18,0,Tuesday
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, top sirloin petite roast/filet, loin",122.0,0.0,3.4,23.05,0,Tuesday
"Nuts, not sweetened, dried (desiccated), coconut meat",660.0,23.65,65.0,6.88,2,Tuesday
"Cream puff shell, prepared from recipe",360.0,22.8,26.0,9.0,1,Tuesday
"Pork, unheated, separable lean and fat, bone-in, shank, ham and water product, cured",243.0,1.42,20.0,14.28,1,Tuesday
"Gooseberries, raw",44.0,10.18,0.6,0.88,0,Tuesday
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, eye of round roast, round",167.0,0.0,4.5,29.66,0,Tuesday
"Beverages, Diet Strawberry Kiwi, V8 SPLASH Juice Drinks",4.0,1.26,0.0,0.0,0,Tuesday
"Cereals ready-to-eat, KASHI Honey Sunshine",332.0,82.0,4.1,7.8,1,Tuesday
"School Lunch, whole grain breaded, chicken nuggets",270.0,22.86,13.0,15.67,1,Tuesday
"Turkey, raw, with added solution, meat and skin, breast, retail parts",144.0,0.03,6.8,20.79,0,Tuesday
"Pork, braised, cooked, separable lean only, country-style ribs, loin, fresh",247.0,0.0,14.0,27.74,1,Tuesday
"Cress, raw, garden",32.0,5.5,0.7,2.6,0,Tuesday
"WENDY'S, Frosty Dairy Dessert",132.0,23.62,2.6,3.49,0,Tuesday
"Babyfood, strained, banana with mixed berries",92.0,21.31,0.4,1.01,0,Tuesday
"Spices, black, pepper",251.0,63.95,3.3,10.39,1,Tuesday
"CAMPBELL'S, condensed, Cream of Chicken with Herbs Soup",65.0,7.26,3.2,1.61,0,Tuesday
"Spices, ground, allspice",263.0,72.12,8.7,6.09,1,Tuesday
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, short ribs, chuck",240.0,0.0,14.0,28.82,1,Tuesday
"Pork, roasted, cooked, separable lean and fat, spareribs, fresh",361.0,0.0,31.0,20.89,1,Tuesday
"Nuts, roasted, japanese, chestnuts",201.0,45.13,0.8,2.97,0,Tuesday
"Blueberries, frozen, wild",57.0,13.85,0.2,0.0,0,Tuesday
"Chicken, roasted, cooked, meat and skin, roasting",223.0,0.0,13.0,23.97,1,Tuesday
"Chicken, stewed, cooked, meat and skin, stewing",285.0,0.0,19.0,26.88,1,Tuesday
"Soup, prepared with equal volume water, canned, split with ham, pea",75.0,11.05,1.7,4.08,0,Tuesday
"Veal, raw, separable lean only, sirloin",110.0,0.0,2.6,20.2,0,Tuesday
"Beans, without salt, boiled, cooked, mature seeds, pink",149.0,27.91,0.5,9.06,0,Tuesday
"Infant formula, with ARA and DHA, not reconstituted, liquid concentrate, LIPIL, PROSOBEE, ENFAMIL, MEAD JOHNSON",131.0,13.58,7.1,3.19,0,Tuesday
"Puddings, regular, dry mix, chocolate",362.0,89.3,2.1,2.6,1,Tuesday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, top blade, shoulder clod, chuck",176.0,0.0,11.0,18.99,0,Tuesday
HEALTHY REQUEST Tomato juice,21.0,4.53,0.0,0.82,0,Tuesday
"Soup, condensed, canned, tomato rice",93.0,17.08,2.1,1.64,0,Tuesday
"Pasta mix, unprepared, Italian four cheese lasagna",355.0,70.26,2.7,12.53,1,Tuesday
"Duck, roasted, cooked, boneless, meat and skin, breast, White Pekin, domesticated, young duckling",202.0,0.0,11.0,24.5,0,Tuesday
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, America's Beef Roast, boneless, chuck eye roast",241.0,0.0,16.0,24.47,1,Tuesday
"Oil, canola (partially hydrogenated) oil for deep fat frying, industrial",884.0,0.0,100.0,0.0,2,Tuesday
"Snacks, made with olestra, fat-free, potato chips",274.0,65.0,0.7,7.74,1,Tuesday
"Lamb, fast roasted, cooked, separable lean only, rack - partly frenched, imported, New Zealand",193.0,0.0,11.0,24.43,0,Tuesday
"Turkey, roasted, with added solution, meat only, from whole bird, wing",127.0,0.0,2.1,26.97,0,Tuesday
"Papaya, drained, heavy syrup, canned",206.0,55.83,0.6,0.14,1,Tuesday
"Beverages, Diet Cranberry Juice, OCEAN SPRAY",4.0,0.8,0.0,0.07,0,Tuesday
"Lamb, raw, kidneys, variety meats and by-products",97.0,0.82,3.0,15.74,0,Tuesday
"Ice cream bar, covered with chocolate and nuts",303.0,11.89,26.0,5.62,1,Tuesday
"USDA Commodity Food, low saturated fat, vegetable, oil",884.0,0.0,100.0,0.0,2,Tuesday
"Infant formula, not reconstituted, liquid concentrate, store brand, PBM PRODUCTS",130.0,13.9,7.0,2.9,0,Tuesday
"Tangerines, raw, (mandarin oranges)",53.0,13.34,0.3,0.81,0,Tuesday
"Puddings, prepared with whole milk, instant, dry mix, banana",115.0,19.76,2.8,2.62,0,Tuesday
"CAMPBELL'S, Low Sodium V8, V8 Vegetable Juice",21.0,4.12,0.0,0.82,0,Tuesday
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",153.0,0.0,6.5,22.22,0,Tuesday
"Sugar, turbinado",399.0,99.8,0.0,0.0,1,Tuesday
"Candies, dietetic or low calorie (sorbitol), hard",394.0,98.6,0.0,0.0,1,Tuesday
"Beef, braised, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, whole, brisket",331.0,0.0,25.0,25.85,1,Tuesday
"Candies, SNICKERS MUNCH bar, MARS SNACKFOOD US",536.0,43.64,36.0,15.25,2,Tuesday
"Syrups, maple",260.0,67.04,0.1,0.04,1,Tuesday
"Beverages, half the caffeine, regular, instant, coffee",352.0,73.18,0.5,14.42,1,Tuesday
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",192.0,0.0,12.0,20.7,0,Tuesday
"Babyfood, strained, bananas and rice, plums",57.0,12.7,0.3,1.1,0,Tuesday
"Corn, solids and liquids, no salt added, canned, yellow, sweet",61.0,13.86,0.8,1.95,0,Tuesday
"KEEBLER, Bistro Multigrain Crackers, TOWN HOUSE",460.0,67.0,20.0,7.3,2,Tuesday
"CAMPBELL'S, condensed, Cream of Chicken Soup",103.0,6.03,8.0,1.76,0,Tuesday
"USDA Commodity, cooked, frozen, patties (100%), beef",249.0,0.91,16.0,22.98,1,Tuesday
"Candies, jellybeans",375.0,93.55,0.1,0.0,1,Tuesday
"Infant Formula, with ARA and DHA, ready-to-feed, ENFACARE LIPIL, ENFAMIL, MEAD JOHNSON",71.0,7.4,3.8,2.0,0,Tuesday
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, shoulder steak",169.0,0.0,5.2,28.71,0,Tuesday
"Pork, roasted, heated, separable lean only, bone-in, shank, ham -- water added, cured",128.0,1.2,4.4,20.92,0,Tuesday
"Bread, low sodium no salt, toasted, commercially prepared, white",293.0,54.4,4.0,9.0,1,Tuesday
"Cereals ready-to-eat, Berry Fruitful, KASHI ORGANIC PROMISE",318.0,76.2,1.3,10.7,1,Tuesday
"Loganberries, frozen",55.0,13.02,0.3,1.52,0,Tuesday
"Soymilk (all flavors), vitamins A and D, with added calcium, nonfat",28.0,4.14,0.0,2.47,0,Tuesday
"Margarine-like, with salt, liquid, fat free, vegetable oil spread",43.0,2.5,3.0,1.5,0,Tuesday
"Ham, minced",263.0,1.84,21.0,16.28,1,Tuesday
"Veal, cooked, separable fat, breast",521.0,0.0,53.0,9.4,2,Tuesday
"Beverages, fast-food cola, cola, carbonated",37.0,9.56,0.0,0.07,0,Tuesday
"Cereals ready-to-eat, KELLOGG'S CRACKLIN' OAT BRAN, KELLOGG",395.0,70.3,14.0,9.2,1,Tuesday
"Cereals ready-to-eat, HONEY NUT CLUSTERS, GENERAL MILLS",374.0,85.2,2.0,7.7,1,Tuesday
"Alcoholic beverage, whiskey sour",149.0,13.17,0.0,0.0,0,Tuesday
"Chicken, flour, fried, cooked, skin only, broilers or fryers",502.0,9.34,43.0,19.09,2,Tuesday
"Restaurant, general tso's chicken, Chinese",295.0,23.99,16.0,12.9,1,Tuesday
"Pork, braised, cooked, liver, variety meats and by-products, fresh",165.0,3.76,4.4,26.02,0,Tuesday
"Rice mix, unprepared, flavored, white and wild",355.0,76.14,0.9,10.53,1,Tuesday
"Cereals ready-to-eat, RAISIN BRAN CLUSTERS, FIBER ONE, GENERAL MILLS",317.0,83.4,2.3,6.3,1,Tuesday
"MORNINGSTAR FARMS Garden Veggie Nuggets, unprepared, frozen",197.0,16.9,12.0,9.6,0,Tuesday
"Pork, raw, 96% lean / 4% fat, ground",121.0,0.21,4.0,21.1,0,Tuesday
"Ostrich, raw, inside leg",111.0,0.0,1.7,22.39,0,Tuesday
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",203.0,0.36,9.5,28.99,0,Tuesday
"Beverages, fortified, ready to drink, milk and soy based, chocolate drink",101.0,17.3,1.7,4.22,0,Tuesday
"Beef, raw, 85% lean meat / 15% fat, ground",215.0,0.0,15.0,18.59,1,Tuesday
"Fish, dry heat, cooked, european, turbot",122.0,0.0,3.8,20.58,0,Tuesday
"SUPPER BAKES MEAL KITS, Southwestern-Style Chicken w/rice (chicken not included)",189.0,39.51,1.2,4.94,0,Tuesday
"Fish, dry heat, cooked, mixed species, freshwater, bass",146.0,0.0,4.7,24.18,0,Tuesday
"Mountain yam, without salt, steamed, cooked, hawaii",82.0,20.0,0.1,1.73,0,Tuesday
"PACE, Enchilada Sauce",40.0,8.33,0.0,1.67,0,Tuesday
"Cereals ready-to-eat, pecan bunches, HONEY BUNCHES OF OATS, POST",399.0,82.0,5.4,7.0,1,Tuesday
"Ostrich, raw, ground",165.0,0.0,8.7,20.22,0,Tuesday
"Beverages, bottled, cranberry-grape juice drink",56.0,14.0,0.1,0.2,0,Tuesday
"Cereals ready-to-eat, Golden Maple, QUAKER Oatmeal Squares",380.0,78.04,4.8,11.3,1,Tuesday
"Bread, sprouted, wheat",188.0,33.88,0.0,13.16,0,Tuesday
"Lamb, fast fried, cooked, separable lean and fat, tenderloin, imported, New Zealand",157.0,0.0,5.0,27.87,0,Tuesday
"Soy flour, raw, full-fat",434.0,31.92,21.0,37.81,1,Tuesday
"CAMPBELL'S, condensed, Chicken with Rice Soup",68.0,11.28,1.6,1.84,0,Tuesday
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, eye of round steak, round",154.0,0.0,4.0,29.47,0,Tuesday
"CAMPBELL'S CHUNKY Soups, Old Fashioned Vegetable Beef Soup",49.0,6.24,1.2,3.16,0,Tuesday
"Snacks, plain, CORNNUTS, KRAFT",446.0,71.86,16.0,8.5,2,Tuesday
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, frozen, imported, New Zealand",201.0,0.0,13.0,18.76,0,Tuesday
"Beef, raw, separable lean and fat, oyster blade, imported, New Zealand",178.0,0.0,10.0,21.27,0,Tuesday
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, lip-on, bone-in, rib eye steak",309.0,0.0,24.0,22.9,1,Tuesday
"Ice creams, Butter Pecan, No Sugar Added, BREYERS",180.0,21.3,10.0,3.99,0,Tuesday
"PEPPERIDGE FARM, White Hoagie Roll",296.0,50.7,8.7,0.01,1,Tuesday
"Fish, surimi",99.0,6.85,0.9,15.18,0,Tuesday
"Cookies, baked, refrigerated dough, sugar",489.0,65.6,23.0,4.7,2,Tuesday
"Beverages, whey and milk based, Chocolate-flavored drink",49.0,10.68,0.4,0.64,0,Tuesday
"Beverages, high vitamin C and added thiamin, greater than 3% fruit juice, fruit juice drink",54.0,13.16,0.0,0.13,0,Tuesday
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean only, whole (arm and blade), shoulder, domestic",210.0,0.0,11.0,27.12,1,Tuesday
"Shortening, composite, household, vegetable",884.0,0.0,100.0,0.0,2,Tuesday
"Caribou, dried (Alaska Native), shoulder meat",271.0,0.0,3.7,59.38,1,Tuesday
"Beef, grilled, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye steak",215.0,0.0,11.0,27.97,1,Tuesday
"Stew, squash (Navajo), corn, mutton",103.0,7.27,4.3,8.62,0,Tuesday
"CARRABBA'S ITALIAN GRILL, lasagne",191.0,12.36,11.0,10.48,0,Tuesday
"Salad dressing, reduced fat, french dressing",222.0,31.22,12.0,0.58,1,Tuesday
"Beef, roasted, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",355.0,0.0,29.0,23.01,1,Tuesday
"Wheat flour, soft wheat, whole-grain",332.0,74.48,2.0,9.61,1,Tuesday
"Tea, Hohoysi (Hopi), brewed, herbal",2.0,0.0,0.2,0.12,0,Tuesday
"Candies, MR. GOODBAR Chocolate Bar",538.0,54.34,33.0,10.22,2,Tuesday
"Huckleberries, raw (Alaska Native)",37.0,8.7,0.1,0.4,0,Tuesday
"Raisins, seeded",296.0,78.47,0.5,2.52,1,Tuesday
"Cereals ready-to-eat, Wheat and Honey, Oats, 100% Natural Granola, QUAKER",421.0,73.65,12.0,10.55,1,Tuesday
"MORNINGSTAR FARMS Meal Starters Veggie Meatballs, unprepared, frozen",158.0,9.9,5.8,17.7,0,Tuesday
"Babyfood, prepared with whole milk, oatmeal, cereal",116.0,15.3,4.1,5.0,0,Tuesday
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",400.0,82.8,5.0,7.1,1,Tuesday
